function_name,excel,sheets,ironcalc,hyperformula
TRIMMEAN,Y,Y,N,N
TRIMRANGE,Y,N,N,N
TYPE,Y,Y,Y,N
UMINUS,N,Y,N,N
UNARY_PERCENT,N,Y,N,N
UNIQUE,Y,Y,N,N
UPLUS,N,Y,N,N
VALUETOTEXT,N,N,Y,N
VDB,Y,Y,N,N
VSTACK,Y,Y,N,N
WEBSERVICE,Y,N,N,N
WRAPCOLS,Y,Y,N,N
WRAPROWS,Y,Y,N,N
XIRR,Y,Y,Y,N
XMATCH,Y,N,N,N
YIELD,Y,Y,N,N
YIELDDISC,Y,Y,N,N
YIELDMAT,Y,Y,N,N
