batch_id,function_name
9,OCT2DEC
9,OCT2HEX
9,ODD
9,ODDFPRICE
9,ODDFYIELD
10,ODDLPRICE
10,ODDLYIELD
10,OFFSET
10,OR
10,PDURATION
10,PEARSON
10,PERCENTILE
10,PERCENTILE.EXC
10,PERCENTILE.INC
10,PERCENTRANK
10,PERCENTRANK.EXC
10,PERCENTRANK.INC
10,PERMUT
10,PERMUTATIONA
10,PHI
10,PHONETIC
10,PI
10,PIVOTBY
10,PMT
10,POISSON.DIST
10,POW
10,POWER
10,PPMT
10,PRICE
10,PRICEDISC
10,PRICEMAT
10,PROB
10,PRODUCT
10,PROPER
10,PV
10,QUARTILE
10,QUARTILE.EXC
10,QUARTILE.INC
10,QUERY
10,QUOTIENT
10,RADIANS
10,RAND
10,RANDARRAY
10,RANDBETWEEN
10,RANK
11,RANK.AVG
11,RANK.EQ
11,RATE
11,RECEIVED
11,REDUCE
11,REGEXEXTRACT
11,REGEXMATCH
11,REGEXREPLACE
11,REGISTER.ID
11,REPLACE
11,REPLACEB
11,REPT
11,RIGHT
11,RIGHTB
11,ROMAN
11,ROUND
11,ROUNDDOWN
11,ROUNDUP
11,ROW
11,ROWS
11,RRI
11,RSQ
11,RTD
11,SCAN
11,SEARCH
11,SEARCHB
11,SEC
11,SECH
11,SECOND
11,SEQUENCE
11,SERIESSUM
11,SHEET
11,SHEETS
11,SIGN
11,SIN
11,SINH
11,SKEW
11,SKEW.P
11,SLN
11,SLOPE
12,SMALL
12,SORT
12,SORTBY
12,SORTN
12,SPARKLINE
12,SPLIT
12,SQRT
12,SQRTPI
12,STANDARDIZE
12,STDEV.P
12,STDEV.S
12,STDEVA
12,STDEVPA
12,STEYX
12,STOCKHISTORY
12,SUBSTITUTE
12,SUBTOTAL
12,SUM
12,SUMIF
12,SUMIFS
12,SUMPRODUCT
12,SUMSQ
12,SUMX2MY2
12,SUMX2PY2
12,SUMXMY2
12,SWITCH
12,SYD
12,T
12,T.DIST
12,T.DIST.2T
12,T.DIST.RT
12,T.INV
12,T.INV.2T
12,T.TEST
12,TAKE
12,TAN
12,TANH
12,TBILLEQ
12,TBILLPRICE
12,TBILLYIELD
13,TEXT
13,TEXTAFTER
13,TEXTBEFORE
13,TEXTJOIN
13,TEXTSPLIT
13,TIME
13,TIMEVALUE
13,TOCOL
13,TODAY
13,TOROW
13,TO_DATE
13,TO_DOLLARS
13,TO_PERCENT
13,TO_PURE_NUMBER
13,TO_TEXT
13,TRANSPOSE
13,TREND
13,TRIM
13,TRIMMEAN
13,TRIMRANGE
13,TRUE
13,TRUNC
13,TTEST
13,TYPE
13,UMINUS
13,UNARY_PERCENT
13,UNICHAR
13,UNICODE
13,UNIQUE
13,UPLUS
13,UPPER
13,VALUE
13,VALUETOTEXT
13,VAR.P
13,VAR.S
13,VARA
13,VARPA
13,VDB
13,VLOOKUP
13,VSTACK
14,WEBSERVICE
14,WEEKDAY
14,WEEKNUM
14,WEIBULL.DIST
14,WORKDAY
14,WORKDAY.INTL
14,WRAPCOLS
14,WRAPROWS
14,XIRR
14,XLOOKUP
14,XMATCH
14,XNPV
14,XOR
14,YEAR
14,YEARFRAC
14,YIELD
14,YIELDDISC
14,YIELDMAT
14,Z.TEST
